1	1	1
2	2	1
3	3	1
4	4	1
5	5	1
6	6	1
7	4	1
8	4	1
9	5	1
10	4	1
11	2	1
12	2	1
13	2	1
14	7	1
15	6	1
16	6	1
17	6	1
18	6	1
19	6	1
20	6	1
21	6	1
22	6	1
23	8	1
24	4	1
25	9	1
26	9	1
27	10	1
28	10	1
29	10	1
30	11	1
29	6	1
31	6	1
32	6	1
33	6	1
34	12	1
35	13	1
36	6	1
37	6	1
15	14	1
19	14	1
18	14	1
17	14	1
22	14	1
16	14	1
20	14	1
21	14	1
38	15	1
39	16	1
9	17	1
40	18	1
28	6	1
9	19	1
7	14	1
41	11	1
42	2	1
43	20	1
24	20	1
7	20	1
44	20	1
45	20	1
46	6	1
47	6	1
48	6	1
13	6	1
49	6	1
41	21	1
50	14	1
51	2	1
52	2	1
53	3	1
54	22	1
42	23	1
24	24	1
7	24	1
40	25	1
40	26	1
40	27	1
40	28	1
40	29	1
40	30	1
40	31	1
55	5	1
56	25	1
49	32	1
48	32	1
47	32	1
57	3	1
50	3	1
58	3	1
59	25	1
37	25	1
47	3	1
60	33	1
61	10	1
43	10	1
62	10	1
63	18	1
52	18	1
11	18	1
64	34	1
65	35	1
41	35	1
9	36	1
9	37	1
30	31	1
66	31	1
65	6	1
67	3	1
19	38	1
68	39	1
69	6	1
70	6	1
71	6	1
54	6	1
72	6	1
73	6	1
5	6	1
60	40	1
11	41	1
52	41	1
74	20	1
40	6	1
75	6	1
34	42	1
28	43	1
40	10	1
76	3	1
77	20	1
78	14	1
20	2	1
40	3	1
19	2	1
22	2	1
15	2	1
21	2	1
16	2	1
17	2	1
18	2	1
69	38	1
64	3	1
79	2	1
80	44	1
29	44	1
81	25	1
11	22	1
52	22	1
55	22	1
63	22	1
12	22	1
11	45	1
12	45	1
3	45	1
82	6	1
83	6	1
84	6	1
64	46	1
3	47	1
44	48	1
85	48	1
55	48	1
86	48	1
87	48	1
88	3	1
89	20	1
4	6	1
90	6	1
58	49	1
91	6	1
37	47	1
92	14	1
81	14	1
23	50	1
93	41	1
40	4	1
94	51	1
26	43	1
25	43	1
90	39	1
40	45	1
95	52	1
96	23	1
97	5	1
75	5	1
70	5	1
54	5	1
57	53	1
98	54	1
99	3	1
100	3	1
101	3	1
102	25	1
103	47	1
48	3	1
13	49	1
48	49	1
13	3	1
47	49	1
104	3	1
105	41	1
69	25	1
3	39	1
106	3	1
107	55	1
26	56	1
11	57	1
108	58	1
109	58	1
7	39	1
40	55	1
56	10	1
46	57	1
96	57	1
96	50	1
41	23	1
30	23	1
106	56	1
67	25	1
24	59	1
7	59	1
64	59	1
110	60	1
110	3	1
110	39	1
69	39	1
111	3	1
69	3	1
111	60	1
111	39	1
69	60	1
35	3	1
70	39	1
54	39	1
19	56	1
36	60	1
5	61	1
56	32	1
69	45	1
41	19	1
41	50	1
74	18	1
112	62	1
67	63	1
112	20	1
112	25	1
81	39	1
98	14	1
32	2	1
113	2	1
7	25	1
114	2	1
52	29	1
51	29	1
12	29	1
11	29	1
107	3	1
115	2	1
116	20	1
13	47	1
15	20	1
22	25	1
117	64	1
118	39	1
119	65	1
19	59	1
21	59	1
22	59	1
15	59	1
18	59	1
16	59	1
20	59	1
17	59	1
114	20	1
120	22	1
33	54	1
121	2	1
122	2	1
35	2	1
81	49	1
123	25	1
124	18	1
125	18	1
39	18	1
126	18	1
87	18	1
127	47	1
75	66	1
47	66	1
7	18	1
24	18	1
128	60	1
41	4	1
89	50	1
27	2	1
30	64	1
1	23	1
29	2	1
77	50	1
12	41	1
55	41	1
63	41	1
3	41	1
129	46	1
110	2	1
110	23	1
87	3	1
45	61	1
130	20	1
8	49	1
67	47	1
36	67	1
131	68	1
132	62	1
89	10	1
7	3	1
24	3	1
40	39	1
133	52	1
134	2	1
32	69	1
135	69	1
48	19	1
48	50	1
136	19	1
136	50	1
14	70	1
56	71	1
56	47	1
41	61	1
137	72	1
138	39	1
97	2	1
139	20	1
44	73	1
90	55	1
67	62	1
140	74	1
141	74	1
16	39	1
47	20	1
47	60	1
48	20	1
48	60	1
49	20	1
49	60	1
142	39	1
10	20	1
98	75	1
72	75	1
67	75	1
10	75	1
89	2	1
30	25	1
41	25	1
40	50	1
143	2	1
56	23	1
54	3	1
136	41	1
144	39	1
7	71	1
63	39	1
145	39	1
129	2	1
146	76	1
147	3	1
148	3	1
69	70	1
60	18	1
1	54	1
92	77	1
48	78	1
47	78	1
13	78	1
149	20	1
47	62	1
49	62	1
48	62	1
150	55	1
69	61	1
17	49	1
1	49	1
15	79	1
21	79	1
97	23	1
85	25	1
40	20	1
151	71	1
6	59	1
96	61	1
60	52	1
152	20	1
153	2	1
154	2	1
50	20	1
97	3	1
23	3	1
155	3	1
29	3	1
156	3	1
28	3	1
27	3	1
85	10	1
44	10	1
157	60	1
158	2	1
